product_code,currency,agent,carrier,valid_from,valid_until,rate_type,amount,is_additive,additive_flat_amount,min_charge,max_charge,weight_breaks
IMP-AWB-ORIGIN,AUD,EFM-AU,,2025-01-01,2026-12-31,FIXED,25.0000,False,,,,
IMP-CTO-ORIGIN,AUD,EFM-AU,,2025-01-01,2026-12-31,PER_KG,0.3000,False,,30.00,,
IMP-DOC-ORIGIN,AUD,EFM-AU,,2025-01-01,2026-12-31,FIXED,80.0000,False,,,,
IMP-PICKUP,AUD,EFM-AU,,2025-01-01,2026-12-31,PER_KG,0.2600,False,,85.00,,
IMP-SCREEN-ORIGIN,AUD,EFM-AU,,2025-01-01,2026-12-31,PER_KG,0.3600,False,,70.00,,
IMP-CARTAGE-DEST,PGK,EFM-PG,,2025-01-01,2026-12-31,FIXED,0.0000,False,,,,
IMP-CLEAR,PGK,EFM-PG,,2025-01-01,2026-12-31,FIXED,0.0000,False,,,,
IMP-DOC-DEST,PGK,EFM-PG,,2025-01-01,2026-12-31,FIXED,50.0000,False,,,,
IMP-HANDLING-DEST,PGK,EFM-PG,,2025-01-01,2026-12-31,PER_KG,0.0500,False,,50.00,,
IMP-LOADING-DEST,PGK,EFM-PG,,2025-01-01,2026-12-31,FIXED,50.0000,False,,,,
