product_code,currency,valid_from,valid_until,rate_type,amount,is_additive,additive_flat_amount,min_charge,max_charge,weight_breaks
EXP-AWB,AUD,2025-01-02,2025-12-31,FIXED,60.0000,False,,,,
EXP-BUILDUP,AUD,2025-01-02,2025-12-31,PER_KG,0.1000,False,,19.00,,
EXP-CLEAR,AUD,2025-01-02,2025-12-31,FIXED,130.0000,False,,,,
EXP-DG,AUD,2025-01-02,2025-12-31,FIXED,100.0000,False,,,,
EXP-DOC,AUD,2025-01-02,2025-12-31,FIXED,60.0000,False,,,,
EXP-HANDLE,AUD,2025-01-02,2025-12-31,FIXED,60.0000,False,,,,
EXP-PICKUP,AUD,2025-01-02,2025-12-31,PER_KG,0.5000,False,,50.00,300.00,
EXP-SCREEN,AUD,2025-01-02,2025-12-31,PER_KG,0.1000,True,19.00,,,
EXP-TERM,AUD,2025-01-02,2025-12-31,FIXED,19.0000,False,,,,
EXP-AWB,AUD,2026-01-02,2026-12-31,FIXED,60.0000,False,,,,
EXP-BUILDUP,AUD,2026-01-02,2026-12-31,PER_KG,0.1000,False,,19.00,,
EXP-CLEAR,AUD,2026-01-02,2026-12-31,FIXED,130.0000,False,,,,
EXP-DG,AUD,2026-01-02,2026-12-31,FIXED,100.0000,False,,,,
EXP-DOC,AUD,2026-01-02,2026-12-31,FIXED,60.0000,False,,,,
EXP-HANDLE,AUD,2026-01-02,2026-12-31,FIXED,60.0000,False,,,,
EXP-PICKUP,AUD,2026-01-02,2026-12-31,PER_KG,0.5000,False,,50.00,300.00,
EXP-SCREEN,AUD,2026-01-02,2026-12-31,PER_KG,0.1000,True,19.00,,,
EXP-TERM,AUD,2026-01-02,2026-12-31,FIXED,19.0000,False,,,,
EXP-AWB,USD,2025-01-02,2025-12-31,FIXED,15.0000,False,,,,
EXP-BUILDUP,USD,2025-01-02,2025-12-31,PER_KG,0.0500,False,,15.00,,
EXP-CLEAR,USD,2025-01-02,2025-12-31,FIXED,105.0000,False,,,,
EXP-DG,USD,2025-01-02,2025-12-31,FIXED,80.0000,False,,,,
EXP-DOC,USD,2025-01-02,2025-12-31,FIXED,15.0000,False,,,,
EXP-HANDLE,USD,2025-01-02,2025-12-31,FIXED,15.0000,False,,,,
EXP-PICKUP,USD,2025-01-02,2025-12-31,PER_KG,0.2500,False,,25.00,250.00,
EXP-SCREEN,USD,2025-01-02,2025-12-31,PER_KG,0.0500,True,12.00,,,
EXP-TERM,USD,2025-01-02,2025-12-31,FIXED,15.0000,False,,,,
EXP-AWB,USD,2026-01-02,2026-12-31,FIXED,15.0000,False,,,,
EXP-BUILDUP,USD,2026-01-02,2026-12-31,PER_KG,0.0500,False,,15.00,,
EXP-CLEAR,USD,2026-01-02,2026-12-31,FIXED,105.0000,False,,,,
EXP-DG,USD,2026-01-02,2026-12-31,FIXED,80.0000,False,,,,
EXP-DOC,USD,2026-01-02,2026-12-31,FIXED,15.0000,False,,,,
EXP-HANDLE,USD,2026-01-02,2026-12-31,FIXED,15.0000,False,,,,
EXP-PICKUP,USD,2026-01-02,2026-12-31,PER_KG,0.2500,False,,25.00,250.00,
EXP-SCREEN,USD,2026-01-02,2026-12-31,PER_KG,0.0500,True,12.00,,,
EXP-TERM,USD,2026-01-02,2026-12-31,FIXED,15.0000,False,,,,
