product_code,currency,payment_term,valid_from,valid_until,rate_type,amount,is_additive,additive_flat_amount,min_charge,max_charge,weight_breaks
TEST-IMP-LOCAL,AUD,ANY,2025-01-01,2026-12-31,FIXED,50.0000,False,,,,
IMP-CARTAGE-DEST,AUD,COLLECT,2025-01-01,2026-12-31,PER_KG,0.7500,False,,50.00,500.00,
IMP-CLEAR,AUD,COLLECT,2025-01-01,2026-12-31,FIXED,145.0000,False,,,,
IMP-DOC-DEST,AUD,COLLECT,2025-01-01,2026-12-31,FIXED,80.0000,False,,,,
IMP-HANDLING-DEST,AUD,COLLECT,2025-01-01,2026-12-31,FIXED,80.0000,False,,,,
TEST-IMP-LOCAL,PGK,ANY,2025-01-01,2026-12-31,FIXED,100.0000,False,,,,
IMP-CARTAGE-DEST,PGK,COLLECT,2025-01-01,2026-12-31,PER_KG,1.5000,False,,95.00,500.00,
IMP-CLEAR,PGK,COLLECT,2025-01-01,2026-12-31,FIXED,300.0000,False,,,,
IMP-DOC-DEST,PGK,COLLECT,2025-01-01,2026-12-31,FIXED,150.0000,False,,,,
IMP-HANDLING-DEST,PGK,COLLECT,2025-01-01,2026-12-31,PER_KG,1.5000,False,,150.00,,
IMP-LOADING-DEST,PGK,COLLECT,2025-01-01,2026-12-31,FIXED,150.0000,False,,,,
IMP-CARTAGE-DEST,USD,COLLECT,2025-01-01,2026-12-31,PER_KG,0.5500,False,,40.00,500.00,
IMP-CLEAR,USD,COLLECT,2025-01-01,2026-12-31,FIXED,105.0000,False,,,,
IMP-DOC-DEST,USD,COLLECT,2025-01-01,2026-12-31,FIXED,60.0000,False,,,,
IMP-HANDLING-DEST,USD,COLLECT,2025-01-01,2026-12-31,FIXED,60.0000,False,,,,
